Player,Player ID,Full Name,IPL Team key
KS Williamson,277906,Kane Williamson,107
Rashid Khan,793463,Rashid Khan,107
Mohammad Nabi,25913,Mohammad Nabi,107
PK Garg,1070180,Priyam Garg,107
JM Bairstow,297433,Jonny Bairstow,107
KK Ahmed,942645,Khaleel Ahmed,107
Abdul Samad,1175485,Abdul Samad,107
B Kumar,326016,Bhuvneshwar Kumar,107
Basil Thampi,732291,Basil Thampi,107
NA Saini,700167,Navdeep Saini,100
D Padikkal,1119026,Devdutt Padikkal,100
Mohammed Siraj,940973,Mohammed Siraj,107
V Kohli,253802,Virat Kohli,100
S Dube,714451,Shivam Dube,106
Sachin Baby,432783,Sachin Baby,100
R Parag,1079434,Riyan Parag,106
MK Lomror,853265,Mahipal Lomror,106
YBK Jaiswal,1151278,Yashasvi Jaiswal,106
JC Archer,669855,Jofra Archer,106
KW Richardson,272262,Kane Richardson,100
AF Milne,450860,Adam Milne,101
AS Roy,1079839,Anukul Roy,101
KA Pollard,230559,Kieron Pollard,101
KH Pandya,471342,Krunal Pandya,101
HH Pandya,625371,Hardik Pandya,101
M Markande,1081442,Mayank Markande,106
E Lewis,431901,Evin Lewis,101
S Gopal,344580,Shreyas Gopal,106
YS Chahal,430246,Yuzvendra Chahal,100
JC Buttler,308967,Jos Buttler,106
JJ Bumrah,625383,Jasprit Bumrah,101
DS Kulkarni,277955,Dhawal Kulkarni,101
Ishan Kishan,720471,Ishan Kishan,101
RG Sharma,34102,Rohit Sharma,101
SA Yadav,446507,Suryakumar Yadav,101
RV Uthappa,35582,Robin Uthappa,102
RK Singh,723105,Rinku Singh,105
Shubman Gill,1070173,Shubman Gill,105
Shivam Mavi,1079848,Shivam Mavi,105
S Sandeep Warrier,592735,Sandeep Warrier,105
N Rana,604527,Nitish Rana,105
M Prasidh Krishna,917159,Prasidh Krishna,105
MK Pandey,290630,Manish Pandey,107
SP Narine,230558,Sunil Narine,105
KL Nagarkoti,1070188,Kamlesh Nagarkoti,105
Kuldeep Yadav,559235,Kuldeep Yadav,105
SP Goswami,302579,Shreevats Goswami,107
C de Grandhomme,55395,Colin de Grandhomme,100
CA Lynn,326637,Chris Lynn,101
DJ Hooda,497121,Deepak Hooda,104
M Vohra,532856,Manan Vohra,106
CV Varun,1108375,Varun Chakravarthy,105
Sandeep Sharma,438362,Sandeep Sharma,107
Ravi Bishnoi,1175441,Ravi Bishnoi,104
KL Rahul,422108,K. L. Rahul,104
N Pooran,604302,Nicholas Pooran,104
T Natarajan,802575,T Natarajan,107
Mujeeb Ur Rahman,974109,Mujeeb Ur Rahman,107
EJG Morgan,24598,Eoin Morgan,105
DA Miller,321777,David Miller,106
Mandeep Singh,398506,Mandeep Singh,104
SN Khan,642525,Sarfaraz Khan,104
CJ Jordan,288992,Chris Jordan,104
Harpreet Brar,1168641,Harpreet Brar,104
CH Gayle,51880,Chris Gayle,104
Arshdeep Singh,1125976,Arshdeep Singh,104
AJ Tye,459508,Andrew Tye,106
CR Woakes,247235,Chris Woakes,101
TK Curran,550235,Tom Curran,105
DA Warner,219889,David Warner,107
R Tewatia,423838,Rahul Tewatia,106
AP Tare,333904,Aditya Tare,101
MP Stoinis,325012,Marcus Stoinis,103
PP Shaw,1070168,Prithvi Shaw,103
SV Samson,425943,Sanju Samson,106
AD Russell,276298,Andre Russell,105
JJ Roy,298438,Jason Roy,103
K Rabada,550215,Kagiso Rabada,103
