Player,player_id,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IPL team key,Overs,Mdns,Runs conceeded,Wkts,BBI,Bowling Ave,Econ,Bowling SR,4 wicket hauls,5 wicket hauls,Ct
R Ashwin,26421,160,59,20,419,45,13.02,202,115.79,0,0,9,36,11,103,559.3,4,3869,139,3/29,32.13,7.26,26.35,1,0,34
KM Asif,1083030,2,0,0,0,,0.00,0,0.00,0,0,0,0,0,102,6,0,75,3,2/43,25.00,12.50,12.00,0,0,0
DL Chahar,447261,56,11,4,78,39,12.33,50,180.67,0,0,3,2,6,102,194.4,6,1483,55,4/13,70.17,8.53,46.10,2,0,8
Imran Tahir,40618,59,9,5,33,5,1.50,23,67.75,0,0,0,5,0,102,219.2,1,1703,82,4/12,20.76,7.86,15.87,3,0,13
SN Thakur,475281,53,12,5,50,7*,3.58,35,79.84,0,0,4,5,1,102,179.6,1,1636,52,2/18,32.90,10.05,19.87,0,0,17
M Ashwin,528067,34,8,2,23,9,2.17,33,38.89,0,0,1,1,0,104,111.6,0,881,26,3/21,29.59,7.90,22.33,0,0,7
LH Ferguson,493773,15,3,3,44,24*,0.00,29,124.14,0,0,0,4,1,105,53.5,1,448,13,3/15,33.25,7.92,25.25,0,0,0
RD Chahar,1064812,39,10,4,31,3*,2.33,29,123.28,0,0,3,3,0,101,139,0,1023,41,4/27,26.87,7.80,20.65,1,0,11
JR Hazlewood,288284,4,0,0,0,,0.00,0,0.00,0,0,0,0,0,102,14,0,98,2,1/19,49.00,7.00,42.00,0,0,0
L Ngidi,542023,14,0,0,0,,0.00,0,0.00,0,0,0,0,0,102,54,2,448,25,4/10,17.92,8.29,12.90,1,0,2
MJ Santner,502714,6,2,1,32,22,32.00,23,139.13,0,0,0,0,3,102,21,0,147,6,2/13,24.50,7.00,21.00,0,0,2
KV Sharma,30288,68,35,14,317,39*,7.06,230,67.23,0,0,1,18,14,102,203,1,1610,59,2/13,18.99,5.99,14.13,2,0,14
Avesh Khan,694211,18,1,1,4,4*,0.00,3,66.67,0,0,0,1,0,103,64,0,557,19,3/32,26.33,7.33,22.00,0,0,4
TA Boult,277912,56,8,5,13,6,1.13,8,57.29,0,0,2,0,1,101,214.3,5,1835,73,4/18,29.62,8.64,20.35,1,0,20
CR Brathwaite,457249,16,14,1,181,6,14.12,53,148.50,0,0,0,10,16,105,42.2,0,379,13,,16.93,9.22,11.33,0,0,5
NM Coulter-Nile,261354,34,14,5,77,7*,9.64,32,123.06,0,0,0,7,4,101,123.5,1,960,41,2/29,27.77,7.83,21.23,1,0,10
Mohammed Shami,481896,72,22,11,69,9*,5.73,41,79.93,0,0,3,5,2,104,258.2,0,2262,71,3/15,50.56,8.75,34.50,0,0,11
C Munro,232359,13,12,0,177,40,13.17,111,116.22,0,0,2,19,8,103,2,0,15,0,,0.00,3.75,0.00,0,0,4
A Nortje,481979,17,5,4,7,3*,7.00,6,116.66,0,0,0,0,0,103,65,0,524,24,3/33,21.83,8.06,16.20,0,0,4
AR Patel,554691,102,72,22,913,44,17.63,542,128.89,0,0,5,53,43,103,356.3,2,2589,88,2/18,29.72,7.14,25.05,1,0,41
LE Plunkett,19264,7,2,1,1,1*,1.00,3,33.33,0,0,1,0,0,103,25,0,225,4,3/17,56.25,9.00,37.50,0,0,2
K Rabada,550215,43,16,6,134,44,13.40,132,101.51,0,0,3,10,4,103,164,1,1369,72,4/21,19.01,8.34,13.60,4,0,19
CR Woakes,247235,21,12,6,78,18,6.67,47,107.90,0,0,0,7,2,103,73.2,0,658,30,2/18,20.95,8.86,14.13,0,0,7
SS Cottrell,495551,6,1,0,0,0,0.00,2,0.00,0,0,1,0,0,104,20,1,176,6,2/17,29.33,8.80,20.00,0,0,0
Harpreet Brar,1168641,6,3,3,49,25*,0.00,31,158.06,0,0,0,4,3,104,19,1,144,5,3/19,28.80,7.57,22.80,0,0,1
CJ Jordan,288992,23,9,2,64,30,5.07,52,64.10,0,0,1,3,3,104,73.3,0,678,23,3/17,32.66,8.86,22.40,1,0,9
Ravi Bishnoi,1175441,18,4,2,8,6*,4.00,16,50.00,0,0,0,1,0,104,67,1,475,16,3/29,29.68,7.08,25.10,0,0,4
Kuldeep Yadav,559235,45,11,5,57,16,9.50,75,76.00,0,0,2,5,0,105,149.2,0,1236,40,4/20,30.90,8.27,22.40,1,0,11
